CANDIDATE_ID,COMMITTEE_ID,COMMITTEE_TYPE
H4OH02131,C00590059,H
H2OH02093,C00559336,H
H6OH08190,C00597088,H
H6OH09107,C00600791,H
H4OH08062,C00551465,H
H6OH08158,C00588855,H
H6OH08166,C00588863,H
H6OH08117,C00574772,H
H6OH08174,C00589093,H
H6OH08281,C00603589,H
H6OH12119,C00608547,H
H4OH07049,C00558387,H
H6OH08331,C00624684,H
H6OH10113,C00613455,H
H2OK01143,C00502393,H
H4OK06056,C00287912,H
H4OK02170,C00562215,H
H2OK04055,C00379735,H
H4OK05132,C00558510,H
H2OK02083,C00498345,H
H6OK03223,C00620757,H
H6OK02233,C00592956,H
H6OK01185,C00615468,H
H6OK05251,C00592162,H
H0OK05155,C00600890,H
H4OK05066,C00437640,H
H6OK04114,C00606764,H
H6OK05269,C00608042,H
H6OK04122,C00609552,H
H6OK03165,C00615054,H
H6OR03064,C00307314,H
H6OR04047,C00215905,H
H2OR01133,C00500421,H
H6OR02116,C00333427,H
H8OR05107,C00446906,H
H0OR04081,C00481341,H
H6OR05143,C00592055,H
H6OR05176,C00610873,H
H6OR04203,C00582635,H
H6OR05150,C00602573,H
H6OR05168,C00607457,H
H2OR01190,C00525154,H
H8OR04134,C00450106,H
H8PA01153,C00333740,H
H4PA18131,C00290064,H
H2PA04135,C00510164,H
H0PA10078,C00475145,H
H2PA11098,C00376004,H
H4PA13199,C00543363,H
H8PA05071,C00444620,H
H0PA06076,C00554899,H
H2PA18143,C00372201,H
H0PA04220,C00467530,H
H0PA07082,C00466870,H
H4PA15087,C00386847,H
H6PA02171,C00591065,H
H6PA08277,C00607416,H
H2PA17079,C00509968,H
H4PA12043,C00543918,H
H4PA06052,C00553990,H
H2PA02055,C00254441,H
H2PA15099,C00506162,H
H6PA11073,C00580258,H
H4PA07092,C00560920,H
H6PA16296,C00580316,H
H6PA08228,C00571455,H
H6PA16320,C00599464,H
H2PA09035,C00364935,H
H4PA09056,C00545681,H
H6PA16312,C00596791,H
H4PA17141,C00558791,H
H4PA08116,C00544288,H
H2PA14092,C00510917,H
H6PA07139,C00608067,H
H0PA06118,C00472779,H
H6PA17161,C00585745,H
H6PA07121,C00591925,H
H6PA02155,C00583377,H
H6PA02197,C00617464,H
H6PA08210,C00580571,H
H6PA08251,C00599522,H
H6PA14192,C00614834,H
H6PA10141,C00617688,H
H0RI01073,C00476564,H
H0RI02139,C00344697,H
H6RI02276,C00620229,H
H4RI02065,C00623165,H
H4RI02107,C00552554,H
H4RI01133,C00571067,H
H0SC05031,C00471292,H
H4SC01073,C00285254,H
H6SC01151,C00591776,H
H6SC02100,C00612994,H
H4SC01271,C00568907,H
H2SC02059,C00368522,H
H0SC03077,C00460550,H
H4SC03111,C00616888,H
H0SC04257,C00462523,H
H6SC04163,C00602581,H
H2SC04121,C00525345,H
H6SC05129,C00609495,H
H2SC02042,C00255562,H
H6SC06119,C00612291,H
H2SC07066,C00506048,H
H6SC07018,C00605667,H
H0SD00054,C00476853,H
H6SD01091,C00582692,H
H2TN06030,C00376939,H
H6TN09068,C00422980,H
H6TN01388,C00444471,H
H0TN06257,C00472878,H
H2TN05131,C00376665,H
H0TN03254,C00461822,H
H8TN02069,C00229104,H
H0TN04195,C00464073,H
H6TN04184,C00575035,H
H2TN07103,C00376244,H
H4TN04130,C00617282,H
H6TN08169,C00608406,H
H6TN05314,C00616896,H
H6TN08177,C00610527,H
H6TN03152,C00613513,H
H6TN08151,C00607937,H
H6TN02147,C00616227,H
H6TN01503,C00612366,H
H6TN05322,C00617142,H
H6TN06155,C00619940,H
H6TN08185,C00610543,H
H2TN05263,C00565507,H
H6TN00091,C00613117,H
H6TN06148,C00616441,H
H6TN03145,C00612606,H
H8TN07043,C00448514,H
H6TN04192,C00614263,H
H6TN09415,C00613042,H
H6TN04176,C00467266,H
H6TN08235,C00615484,H
H0TN04211,C00475541,H
H4TN04155,C00545608,H
H6TN08201,C00611129,H
H6TN08193,C00610899,H
H2TN08077,C00372722,H
H4TX19136,C00383828,H
H4TX13014,C00286187,H
H4TX04039,C00386532,H
H6TX12060,C00310532,H
H2TX33040,C00498121,H
H6TX02079,C00553859,H
H4TX04153,C00554113,H
H4TX10093,C00392688,H
H4TX02108,C00392670,H
H2TX26093,C00372532,H
H8TX22107,C00437913,H
H2TX05121,C00370650,H
H6TX21012,C00197160,H
H4TX24094,C00393348,H
H2TX03118,C00250720,H
H6TX08100,C00311043,H
H2TX31044,C00371203,H
H0TX17104,C00472241,H
H2TX14149,C00502229,H
H4TX06117,C00195065,H
H2TX23082,C00371302,H
H2TX03126,C00303305,H
H4TX18054,C00287904,H
H6TX08175,C00592071,H
H6TX25179,C00596841,H
H2TX00015,C00254573,H
H4TX09095,C00396028,H
H0TX07055,C00343236,H
H2TX23124,C00501908,H
H0TX27061,C00473736,H
H2TX35011,C00497933,H
H2TX27190,C00513531,H
H4TX10028,C00286500,H
H2TX16185,C00501197,H
H0TX23086,C00545467,H
H4TX21041,C00543025,H
H6TX27084,C00581223,H
H6TX21228,C00589374,H
H6TX31045,C00592816,H
H6TX19131,C00590117,H
H6TX24149,C00588558,H
H6TX17093,C00589671,H
H6TX19099,C00588657,H
H6TX12136,C00593517,H
H6TX02160,C00599043,H
H6TX31052,C00607523,H
H6TX26102,C00590547,H
H2TX07036,C00509299,H
H0TX04136,C00473868,H
H6TX06203,C00608901,H
H4TX22163,C00557538,H
H2TX10113,C00523902,H
H2TX35029,C00504332,H
H6TX19149,C00591966,H
H6TX15162,C00592659,H
H6TX10148,C00596817,H
H6TX21244,C00605618,H
H2TX33073,C00506832,H
H6TX07110,C00599530,H
H6TX32050,C00589853,H
H6TX06146,C00579383,H
H2TX29030,C00254185,H
H6TX01246,C00591628,H
H6TX27092,C00615823,H
H6TX17119,C00600148,H
H2TX30079,C00501924,H
H6TX07128,C00600858,H
H6TX15204,C00597716,H
H4TX27030,C00474908,H
H6TX29064,C00599944,H
H6TX03150,C00576488,H
H6TX15154,C00592733,H
H4TX19185,C00384552,H
H6TX32043,C00578633,H
H6TX03168,C00596957,H
H6TX15147,C00579029,H
H6TX15170,C00593376,H
H6TX23208,C00600783,H
H6TX19123,C00589846,H
H6TX17101,C00590984,H
H6TX29072,C00625665,H
H6TX06153,C00587220,H
H6TX22242,C00591156,H
H6TX03184,C00605188,H
H6TX15196,C00579664,H
H6TX21236,C00597666,H
H2TX33099,C00508531,H
H6TX21210,C00585794,H
H6TX15188,C00599068,H
H6TX08183,C00592428,H
H6TX33017,C00581447,H
H6TX18141,C00582528,H
H6TX23190,C00592584,H
H2TX28057,C00515916,H
H6TX18133,C00571463,H
H6TX08167,C00574764,H
H2TX06137,C00504225,H
H6TX15055,C00310896,H
H6TX32084,C00600874,H
H6TX19115,C00589622,H
H6TX15212,C00600866,H
H6TX19156,C00591883,H
H6TX29056,C00592295,H
H6TX18158,C00598375,H
H6TX03200,C00612648,H
H6TX19180,C00618660,H
H4TX23088,C00622746,H
H4TX28061,C00555003,H
H6TX32092,C00621458,H
H0TX20090,C00508622,H
H8UT03089,C00431684,H
H6UT03166,C00591990,H
H2UT01094,C00374231,H
H6UT01137,C00605519,H
H4UT01108,C00544866,H
H2UT02324,C00506931,H
H6UT02390,C00592360,H
H4UT03211,C00561332,H
H2UT04023,C00505776,H
H4UT04011,C00556407,H
H6VT00160,C00413179,H
H0VA02118,C00468264,H
H2VA06115,C00257956,H
H2VA04052,C00365692,H
H6VA04061,C00610964,H
H6VA06132,C00612978,H
H6VA07130,C00597690,H
H2VA04102,C00511832,H
H6VA02107,C00603605,H
H8VA01147,C00441014,H
H6VA01174,C00612663,H
H6VA02115,C00615013,H
H6VA01117,C00256925,H
H6VA03089,C00612770,H
H6VA05142,C00607101,H
H6VA05118,C00585976,H
H6VA06157,C00619213,H
H4VA07143,C00554949,H
H6VA07148,C00608000,H
H4VA08224,C00555888,H
H6VA08237,C00607945,H
H0VA09055,C00477240,H
H6VA09086,C00610600,H
H4VA10089,C00554261,H
H6VA10209,C00595116,H
H8VA11062,C00445452,H
H2WA06129,C00514893,H
H6WA07458,C00605592,H
H0WA08046,C00459099,H
H4WA08071,C00397737,H
H0WA02080,C00345546,H
H6WA09025,C00304709,H
H0WA03161,C00472159,H
H4WA05127,C00552786,H
H4WA01258,C00561878,H
H4WA04104,C00559393,H
H6WA07425,C00597732,H
H6WA07441,C00605493,H
H6WA06211,C00620245,H
H6WA03218,C00617993,H
H4WA09061,C00566232,H
H4WA04088,C00558502,H
H6WA08092,C00616656,H
H6WA04141,C00617852,H
H4WA05135,C00555466,H
H6WA08084,C00615328,H
H2WA10048,C00565184,H
H4WA07073,C00569707,H
H6WA05148,C00587592,H
H6WA02160,C00613349,H
H6WA03184,C00592345,H
H6WA08076,C00614222,H
H6WA06203,C00620047,H
H6WA03176,C00581017,H
H6WA01196,C00616961,H
H6WA07466,C00611624,H
H6WA05163,C00615310,H
H6WA07409,C00512137,H
H6WA04158,C00617886,H
H0WV01072,C00473132,H
H6WV01087,C00579474,H
H6WV03091,C00603654,H
H4WV02080,C00506774,H
H4WV03070,C00548271,H
H0WV02104,C00608737,H
H6WV02101,C00608513,H
H6WV02093,C00596270,H
H6WV02127,C00610030,H
H6WV03117,C00620773,H
H2WI02124,C00502179,H
H8WI01024,C00330894,H
H4WI04183,C00397505,H
H6WI08155,C00610212,H
H8WI09050,C00083428,H
H6WI03099,C00312017,H
H4WI06048,C00561597,H
H0WI07051,C00464339,H
H6WI07181,C00616995,H
H6WI08163,C00614115,H
H6WI06100,C00611525,H
H6WI05110,C00607929,H
H6WI01192,C00607036,H
H8WI02121,C00450353,H
H6WI01226,C00614305,H
H6WI08189,C00609834,H
H6WI01176,C00570390,H
H6WI03164,C00602862,H
H6WI07173,C00616219,H
H6WI06126,C00615278,H
H6WI08130,C00609347,H
H6WI01200,C00608539,H
H6WI04063,C00589887,H
H6WI06118,C00612325,H
H6WY00159,C00607556,H
H6WY00142,C00607176,H
H6WY01058,C00603522,H
H6WY01082,C00610360,H
H6WY01074,C00607903,H
H6WY00167,C00621110,H
H6WY00134,C00603449,H
H6WY01090,C00617043,H
H2WY00133,C00532721,H
