CANDIDATE_ID,COMMITTEE_ID,COMMITTEE_TYPE
H6CO03170,C00614073,H
H6CO07023,C00410639,H
H6CO06058,C00580647,H
H6CO07106,C00610279,H
H6CO05241,C00614669,H
H6CO04160,C00586651,H
H6CO01208,C00585265,H
H6CO05233,C00612226,H
H6CO05258,C00615369,H
H6CO06017,C00570754,H
H6CO02164,C00616680,H
H6CO02156,C00616151,H
H8CT01046,C00330142,H
H2CT01189,C00546952,H
H2CT02112,C00410233,H
H0CT02140,C00589713,H
H6CT02154,C00613992,H
H8CT02085,C00443903,H
H0CT03072,C00238865,H
H6CT03145,C00617431,H
H8CT04172,C00434191,H
H4CT04114,C00550087,H
H2CT05131,C00494203,H
H6CT05157,C00605659,H
H6CT05165,C00618447,H
H0CT05127,C00462663,H
H6DE00206,C00590778,H
H6DE01089,C00588491,H
H6DE01097,C00592857,H
H0DE00068,C00455006,H
H6DE01071,C00574129,H
H6FL13148,C00412759,H
H0FL08208,C00481911,H
H0FL17068,C00460055,H
H6FL19087,C00618223,H
H2FL00292,C00511568,H
H4FL13101,C00551572,H
H0FL02086,C00460261,H
H6FL04105,C00615294,H
H2FL08055,C00283051,H
H6FL01119,C00612432,H
H6FL02208,C00582304,H
H2FL03056,C00272732,H
H6FL02190,C00581397,H
H2FL13139,C00392183,H
H0FL18025,C00280537,H
H6FL02257,C00621052,H
H6FL02265,C00621441,H
H4FL20023,C00385773,H
H6FL18147,C00592261,H
H2FL14152,C00618181,H
H6FL18097,C00579896,H
H2FL08063,C00498980,H
H6FL09195,C00582015,H
H6FL23063,C00602920,H
H6FL01184,C00614974,H
H6FL01168,C00614057,H
H6FL04113,C00616276,H
H6FL04121,C00616698,H
H6FL27031,C00618983,H
H6FL06183,C00607531,H
H6FL18055,C00575910,H
H6FL06126,C00586529,H
H6FL02224,C00612515,H
H6FL19095,C00619320,H
H6FL18113,C00580498,H
H8FL25015,C00521781,H
H6FL09179,C00581074,H
H8FL00034,C00445163,H
H6FL24038,C00581124,H
H4FL13135,C00592881,H
H2FL20043,C00501205,H
H6FL16091,C00624601,H
H6FL06134,C00592006,H
H6FL07124,C00609305,H
H6FL09161,C00581041,H
H6FL09187,C00581926,H
H6FL05193,C00590190,H
H6FL09203,C00588962,H
H6FL22081,C00581033,H
H6FL04097,C00614743,H
H6FL16083,C00610303,H
H6FL06118,C00586628,H
H6FL06225,C00620385,H
H6FL10136,C00589689,H
H4FL18068,C00547281,H
H6FL04147,C00618900,H
H6FL01218,C00615286,H
H6FL01150,C00614024,H
H6FL27015,C00591743,H
H6FL10169,C00602953,H
H6FL06159,C00593285,H
H6FL23071,C00607713,H
H6FL27023,C00617720,H
H6FL27049,C00621920,H
H6FL18105,C00579102,H
H6FL01101,C00612309,H
H2FL22049,C00577221,H
H6FL09146,C00570820,H
H6FL26017,C00579870,H
H6FL04154,C00620203,H
H6FL10151,C00590935,H
H0FL04033,C00346767,H
H4FL01155,C00558569,H
H6FL18139,C00582684,H
H6FL01176,C00614271,H
H6FL02240,C00620708,H
H2FL06109,C00494583,H
H6FL03081,C00620658,H
H6FL03073,C00620559,H
H2FL06091,C00621763,H
H6FL07140,C00620443,H
H8FL15107,C00444968,H
H4FL08077,C00543173,H
H6FL08254,C00619783,H
H6FL05177,C00578047,H
H4FL11071,C00552448,H
H2FL05192,C00620864,H
H6FL09070,C00408534,H
H6FL12181,C00616920,H
