STATE_ABBREVIATION,D,INCUMBENT,CANDIDATE_NAME,CANDIDATE_ID,PARTY,PRIMARY_VOTES,PRIMARY_%,GENERAL_VOTES,GENERAL_%,GE_WINNER_INDICATOR
CT,03,0,"Cadena, Angel",H6CT03145,R,,,95786.0,0.3096073101277074,0
CT,04,1,"Himes, Jim",H8CT04172,D,,,187811.0,0.5990017222682912,1
CT,04,0,"Shaban, John",H4CT04114,R,,,125724.0,0.4009823308030873,0
CT,05,1,"Esty, Elizabeth",H2CT05131,D,,,179252.0,0.5799496573724772,1
CT,05,0,"Cope, Clay",H6CT05157,IP,,,129801.0,0.41995651639370785,0
CT,05,0,"Stevens, Bill",H6CT05165,R,,,,,0
CT,05,0,"Pistone, John ",H0CT05127,R,,,28.0,9.05908464420445e-05,0
DE,00,0,"Reigle, Hans",H6DE01071,R,,,172301.0,0.4096162989729935,0
DE,00,0,"Perri, Mark J.",H6DE00255,GRE,,,8326.0,0.019793647774819324,0
DE,00,0,"Gesty, Scott A.",H2DE00148,LIB,,,6436.0,0.015300494484594904,0
DE,00,0,"Franz, Robert Nelson, III",H6DE00230,W,,,4.0,9.509319132750094e-06,0
DE,00,0,"Smith, Campbell",H6DE00263,W,,,4.0,9.509319132750094e-06,0
DE,00,0,"Linney, Rachelle Lee",H6DE00248,W,,,1.0,2.3773297831875236e-06,0
DC,00,0,"Moulton, Martin",H6DC00162,LIB,,,18713.0,0.06218885632057852,0
FL,01,0,"Specht, Steven ",H6FL01176,D,,,114079.0,0.309001424756085,0
FL,02,0,"Lapham, Rob ",H6FL02240,LBF,,,9395.0,0.027361793093003885,0
FL,02,0,"Roberts, Antoine Edward ",H6FL02273,W,,,3.0,8.737134569346637e-06,0
FL,03,1,"Yoho, Ted",H2FL06109,R,,,193843.0,0.5656346658885323,1
FL,03,0,"McGurn, Kenneth ""Ken""",H6FL03081,D,,,136338.0,0.39783484096877736,0
FL,03,0,"Wells, Tom",H6FL03073,NPA,,,12519.0,0.0365304931426904,0
FL,04,0,"Bruderly, David E.",H2FL06091,D,,,113088.0,0.2760519647904858,0
FL,04,0,"Koniz, Gary L.",H2FL04138,NPA,,,9054.0,0.0221011467990685,0
FL,04,0,"Murphy, Daniel",H6FL04170,W,,,11.0,2.685140432844638e-05,0
FL,05,0,"Smith, Glo",H4FL05081,R,,,108325.0,0.3576569794700106,0
FL,07,0,"Murphy, Stephanie",H6FL07140,D,,,182039.0,0.5147361128783702,1
FL,07,0,"Plaskon, Mike",H6FL07157,W,,,33.0,9.331127794036562e-05,0
FL,08,1,"Posey, Bill ",H8FL15107,R,,,246483.0,0.6310998794042416,1
FL,08,0,"Westbrook, Corry",H4FL08077,D,,,127127.0,0.3254984496659933,0
