STATE_ABBREVIATION,D,INCUMBENT,CANDIDATE_NAME,CANDIDATE_ID,PARTY,PRIMARY_VOTES,PRIMARY_%,GENERAL_VOTES,GENERAL_%,GE_WINNER_INDICATOR
PR,00,0,"Gonzalez, Jenniffer",H6PR00082,NPP,326988.0,0.7043223717795455,718591.0,0.48592319801787376,1
IL,02,0,"Morrow, John F",H6IL02199,R,277303.0,1.0,59471.0,0.20192379516640524,0
CA,13,1,"Lee, Barbara",H8CA09060,D,192227.0,0.9195484225884379,293117.0,0.9078455482220453,1
CA,12,1,"Pelosi, Nancy ",H8CA05035,D,169537.0,0.7811253121515651,274035.0,0.8087326063539376,1
CA,02,1,"Huffman, Jared W.",H2CA06259,D,157897.0,0.6830045851717277,254194.0,0.7685009946608781,1
CA,14,1,"Speier, Jackie",H8CA12171,D,144719.0,0.990418768264223,231630.0,0.8086312651205982,1
OR,03,1,"Blumenauer, Earl ",H6OR03064,D,144706.0,0.9829435459220063,274687.0,0.7184082854938474,1
MT,00,1,"Zinke, Ryan",H4MT01041,R,144660.0,0.999986174669229,285358.0,0.5619152828401575,1
IL,07,1,"Davis, Danny K.",H4IL07037,D,139378.0,0.8119232920123031,250584.0,0.8423954334276859,1
PR,00,0,"Pesquera, Carlos Ignacio",H6PR01023,NPP,136821.0,0.29470834167996746,,,0
CA,04,1,"McClintock, Tom",H8CA04152,R,135626.0,0.6146379044684129,220133.0,0.6271988557687377,1
IL,09,1,"Schakowsky, Janice D",H8IL09067,D,134961.0,1.0,217306.0,0.6646500360913662,1
CA,11,1,"DeSaulnier, Mark",H0CA10073,D,133317.0,0.753326816258031,214868.0,0.7205282201409079,1
CA,18,1,"Eshoo, Anna G.",H8CA12098,D,132726.0,0.6819716269056268,230460.0,0.7114500046306301,1
MD,07,1,"Cummings, Elijah",H6MD07160,D,130555.0,0.9205228905638559,238838.0,0.7489150612081076,1
IL,18,1,"LaHood, Darin",H6IL18088,R,130419.0,1.0,250506.0,0.721331018218571,1
IL,01,1,"Rush, Bobby L.",H2IL01042,D,128402.0,0.7143643980572262,234037.0,0.7409469958399554,1
OH,12,1,"Tiberi, Pat",H0OH12062,R,128173.0,1.0,251266.0,0.6655453548554567,1
CA,33,1,"Lieu, Ted W.",H4CA33119,D,127733.0,0.6915364167420104,219397.0,0.6643984749514716,1
IL,05,1,"Quigley, Mike",H0IL05096,D,127679.0,1.0,212842.0,0.6784370975762135,1
CA,05,1,"Thompson, Mike ",H8CA01109,D,124634.0,0.6570023352538995,224526.0,0.7686851015608149,1
OH,05,1,"Latta, Bob",H8OH05036,R,119907.0,1.0,244599.0,0.7090011043766359,1
CA,20,0,"Panetta, Jimmy ",H6CA20152,D,116826.0,0.708302513671804,180980.0,0.7075307575325168,1
IL,02,1,"Kelly, Robin",H2IL02172,D,115752.0,0.7391901298270037,235051.0,0.7980762048335948,1
CA,37,1,"Bass, Karen",H0CA33117,D,115597.0,0.8021052339418667,192490.0,0.8112630230284231,1
OR,04,1,"DeFazio, Peter A.",H6OR04047,D,113816.0,0.9155746474567817,220628.0,0.5549440598840953,1
MT,00,0,"Juneau, Denise",H6MT01095,D,112821.0,1.0,205919.0,0.40548725855648826,0
CA,28,1,"Schiff, Adam B.",H0CA27085,D,111766.0,0.7023653913830376,210883.0,0.7798667943744476,1
CA,53,1,"Davis, Susan A.",H0CA49055,D,110831.0,0.65479735318445,198988.0,0.670092538962001,1
CA,15,1,"Swalwell, Eric",H2CA15094,D,110803.0,0.7650291711257639,198578.0,0.7376679532089883,1
OH,04,1,"Jordan, Jim",H6OH04082,R,109743.0,1.0,210227.0,0.6798886186644588,1
OH,11,1,"Fudge, Marcia L.",H8OH11141,D,109706.0,1.0,242917.0,0.8025379436115314,1
CA,26,1,"Brownley, Julia",H2CA00120,D,108937.0,0.6402183878323421,169248.0,0.6037951246312079,1
OH,10,1,"Turner, Mike ",H2OH03067,R,108235.0,1.0,215724.0,0.640887457590864,1
PA,01,1,"Brady, Robert A.",H8PA01153,D,108233.0,0.9990953651309413,245791.0,0.8216807295775778,1
CA,52,1,"Peters, Scott",H2CA52089,D,108020.0,0.5886584342404988,181253.0,0.5652568484606556,1
CA,19,1,"Lofgren, Zoe",H4CA16049,D,107773.0,0.760775649080205,181802.0,0.7394443246848855,1
IL,03,1,"Lipinski, Daniel William",H4IL03077,D,107620.0,1.0,225320.0,0.9995962929936871,1
OH,16,1,"Renacci, Jim",H0OH16097,R,107039.0,1.0,225794.0,0.6532937527486518,1
OH,15,1,"Stivers, Steve",H8OH15076,R,106410.0,1.0,222847.0,0.6616459871677252,1
PA,14,1,"Doyle, Mike",H4PA18131,D,103710.0,0.7636853654585353,255293.0,0.7425538969878186,1
MS,04,1,"Palazzo, Steven",H0MS04120,R,103558.0,1.0,181323.0,0.6504184318044042,1
OH,06,1,"Johnson, Bill",H0OH06189,R,102187.0,1.0,213975.0,0.706759591088504,1
OH,02,1,"Wenstrup, Brad ",H2OH02085,R,101765.0,0.8487418787166079,221193.0,0.6500342366117215,1
IL,16,1,"Kinzinger, Adam",H0IL11052,R,101421.0,0.9999802806069629,259722.0,0.9994958688181395,1
MD,03,1,"Sarbanes, John",H6MD03292,D,101355.0,0.8717059997247832,214640.0,0.6318981379259586,1
IL,14,1,"Hultgren, Randall M. ""Randy""",H0IL14080,R,101299.0,1.0,200508.0,0.5930487404502258,1
TX,11,1,"Conaway, Mike",H4TX19136,R,101056.0,1.0,201871.0,0.8950245623991345,1
OH,01,1,"Chabot, Steve",H8OH01043,R,101026.0,1.0,210014.0,0.5919422302896378,1
PA,04,1,"Perry, Scott",H2PA04135,R,100552.0,0.9958897461546842,220628.0,0.6599977264976696,1
CA,06,1,"Matsui, Doris",H6CA05195,D,99599.0,0.7038102237234478,177565.0,0.7542701550041842,1
OR,01,1,"Bonamici, Suzanne",H2OR01133,D,99153.0,0.8973934292696172,225391.0,0.5961226675835438,1
CA,03,1,"Garamendi, John G.",H0CA10149,D,98430.0,0.6310748082989255,152513.0,0.5935143170691842,1
TX,13,1,"Thornberry, Mac ",H4TX13014,R,98033.0,1.0,199050.0,0.8996935482412923,1
ND,00,1,"Cramer, Kevin",H0ND01026,R,96357.0,0.9905526543032197,233980.0,0.6913097302775225,1
TX,01,1,"Gohmert, Louie ",H4TX04039,R,96313.0,0.8194967964808086,192434.0,0.7389683152272003,1
PA,10,1,"Marino, Tom",H0PA10078,R,95321.0,0.9893715293995536,211282.0,0.7006951169361793,1
IN,05,1,"Brooks, Susan W.  #",H2IN05082,R,95209.0,0.6950272290599039,221957.0,0.6146094950641727,1
MS,01,1,"Kelly, Trent",H6MS01131,R,95049.0,0.8929316273039851,206455.0,0.6872143610842046,1
CA,07,1,"Bera, Ami",H0CA03078,D,93506.0,0.5400413523846926,152133.0,0.5117137177473335,1
CA,27,1,"Chu, Judy ",H0CA32101,D,93204.0,0.6617675250814748,168977.0,0.6742036132656644,1
CA,43,1,"Waters, Maxine",H4CA23011,D,92909.0,0.7611685960298539,167017.0,0.7608420342936278,1
CA,48,1,"Rohrabacher, Dana ",H8CA42061,R,92815.0,0.5656795285140513,178701.0,0.5831973526186622,1
IL,04,1,"Gutierrez, Luis V.",H2IL08039,D,92779.0,0.7517400076163313,171297.0,1.0,1
CA,30,1,"Sherman, Brad",H6CA24113,D,92448.0,0.6011353217720383,205279.0,0.7263839153019773,1
PR,00,0,"Ferrer Rios, Hector J.",H6PR00090,PPD,92405.0,0.5766518559197225,695073.0,0.47001993486681237,0
PA,11,1,"Barletta, Lou ",H2PA11098,R,92342.0,0.9993614787718748,199421.0,0.6362212310892467,1
IN,06,1,"Messer, Luke ",H0IN02125,R,91828.0,0.7766369525871547,204920.0,0.691398012719942,1
DC,00,1,"Norton, Eleanor Holmes",H0DC00058,D,90801.0,0.9714973519499278,265178.0,0.8812652456248795,1
CA,47,1,"Lowenthal, Alan",H2CA00104,D,90595.0,0.6611711987855965,154759.0,0.6372144539420591,1
PA,13,1,"Boyle, Brendan F.",H4PA13199,D,90512.0,0.9985988371451583,239316.0,0.999010657349313,1
MD,02,1,"Ruppersberger, C.A. Dutch",H2MD02160,D,89820.0,1.0,192183.0,0.6209868165955796,1
PA,05,1,"Thompson, Glenn GT",H8PA05071,R,89000.0,0.9925392276037427,206761.0,0.6707988489152616,1
PA,03,1,"Kelly, Mike ",H4PA03117,R,88964.0,0.9925916008390235,244893.0,0.9720869306341173,1
PA,06,1,"Costello, Ryan",H0PA06076,R,88349.0,0.9985532963369012,207469.0,0.5719243789213686,1
PA,18,1,"Murphy, Tim ",H2PA18143,R,88266.0,0.993483032247172,293684.0,0.9839352182230575,1
OH,13,1,"Ryan, Tim ",H2OH17109,D,88154.0,0.8928614836122027,208610.0,0.6772963987480682,1
MS,03,1,"Harper, Gregg",H8MS03067,R,87997.0,0.891045698026469,209490.0,0.6620107759642276,1
TX,12,1,"Granger, Kay ",H6TX12060,R,87329.0,1.0,196482.0,0.6940006711053812,1
WA,06,1,"Kilmer, Derek",H2WA06129,D,87311.0,0.58369600823623,201718.0,0.6153053069541292,1
PA,12,1,"Rothfus, Keith ",H0PA04220,R,87270.0,0.9938956335557935,221851.0,0.6170875601160458,1
AL,04,1,"Aderholt, Robert",H6AL04098,R,86660.0,0.8117576529656413,235925.0,0.9853034529994488,1
CA,50,1,"Hunter, Duncan",H8CA52052,R,86534.0,0.5645153924939167,179937.0,0.6345126470909751,1
CA,22,1,"Nunes, Devin G.",H8CA20059,R,86479.0,0.6380612982720203,158755.0,0.6756509452431415,1
AR,02,1,"Hill, French",H4AR02141,R,86474.0,0.8454221049029672,176472.0,0.5834479475243335,1
CA,38,1,"Sánchez, Linda T.",H2CA39078,D,86396.0,0.7002090998978815,163590.0,0.7047829945630164,1
PA,07,1,"Meehan, Patrick L.",H0PA07082,R,86178.0,0.7578219806890729,225678.0,,1
CA,01,1,"La Malfa, Doug",H2CA02142,R,86136.0,0.40790657586922136,185448.0,0.5905310219210537,1
IN,04,1,"Rokita, Todd  #",H0IN04170,R,86051.0,0.6925578063758038,193412.0,0.645925312422771,1
OR,02,1,"Walden, Greg",H6OR02116,R,85039.0,0.7994190418891479,272952.0,0.716900553922766,1
CA,39,1,"Royce, Ed",H6CA39020,R,85035.0,0.604994486144214,150777.0,0.572304293696101,1
CA,49,1,"Issa, Darrell",H0CA48024,R,84626.0,0.5082001669459107,155888.0,0.5026132095242701,1
MO,03,1,"Luetkemeyer, Blaine",H8MO09153,R,84274.0,0.7346444200359155,249865.0,0.6783671297440088,1
TX,25,1,"Williams, Roger",H2TX33040,R,83965.0,1.0,180988.0,0.5834633586506596,1
MD,05,1,"Hoyer, Steny H.",H2MD05155,D,83787.0,0.7588646058816604,242989.0,0.6737828380019633,1
IL,06,1,"Roskam, Peter J.",H6IL06117,R,83344.0,0.6877816105233623,208555.0,0.5922401503921669,1
IL,11,1,"Foster, Bill",H8IL14067,D,82984.0,1.0,166578.0,0.6044786680843188,1
WA,07,0,"Jayapal, Pramila",H6WA07458,D,82753.0,0.4211284306092019,212010.0,0.5597564646181955,1
OH,07,1,"Gibbs, Bob ",H0OH18077,R,80853.0,0.7465237382970472,198221.0,0.6403459181464887,1
TX,36,1,"Babin, Brian ",H6TX02079,R,80649.0,1.0,193675.0,0.8861208336192895,1
OH,09,1,"Kaptur, Marcy",H2OH09031,D,80065.0,1.0,193966.0,0.6868533063265321,1
HI,02,1,"Gabbard, Tulsi",H2HI02508,D,80026.0,0.8453242349660396,170848.0,0.8115677668205742,1
OH,14,1,"Joyce, David P.",H2OH14064,R,79919.0,0.6449085319109447,219191.0,0.6257790441061013,1
OH,03,1,"Beatty, Joyce",H2OH03125,D,79893.0,1.0,199791.0,0.6857398807623794,1
CA,07,0,"Jones, Scott R.",H6CA07126,R,79640.0,0.4599586476153073,145168.0,0.4882862822526665,0
MD,01,1,"Harris, Andy",H8MD01094,R,79497.0,0.7838394793926248,242574.0,0.6699144151981375,1
AL,02,1,"Roby, Martha",H0AL02087,R,78689.0,0.6637061403508772,134886.0,0.4876854771064125,1
NE,03,1,"Smith, Adrian",H6NE03115,R,78154.0,1.0,226720.0,1.0,1
WA,01,1,"DelBene, Suzan",H0WA08046,D,77756.0,0.5354543263436973,193619.0,0.5541502813410495,1
AL,03,1,"Rogers, Mike",H2AL03032,R,77432.0,0.7598374973014347,192164.0,0.6693184351315203,1
IN,02,1,"Walorski, Jackie",H0IN02190,R,77400.0,0.697781343815079,164355.0,0.5925756335697314,1
TX,04,1,"Ratcliffe, John",H4TX04153,R,77254.0,0.6803762351822169,216643.0,0.8798757209000081,1
IN,01,1,"Visclosky, Peter J.",H4IN01012,D,77095.0,0.7996577118556166,207515.0,0.8151172702026451,1
MO,02,1,"Wagner, Ann ",H2MO02102,R,77084.0,0.825779082348656,241954.0,0.5854254577832837,1
NM,03,1,"Lujan, Ben R",H8NM03196,D,76789.0,1.0,170612.0,0.6241704531319738,1
TX,10,1,"McCaul, Michael T.",H4TX10093,R,76646.0,1.0,179221.0,0.5733237364043506,1
IL,15,1,"Shimkus, John M.",H2IL20042,R,76547.0,0.6037210549561487,274554.0,1.0,1
CA,36,1,"Ruiz, Raul",H2CA36439,D,76213.0,0.5847873793410371,144348.0,0.6205393414926682,1
CA,23,1,"McCarthy, Kevin",H6CA22125,R,76166.0,0.5546041038635735,167116.0,0.6917511093449897,1
PA,15,1,"Dent, Charles W.",H4PA15087,R,75821.0,0.9984987160071114,190618.0,0.5834149506623246,1
CA,49,0,"Applegate, Doug",H6CA49102,D,75808.0,0.45524588490340556,154267.0,0.49738679047572987,0
PA,02,0,"Evans, Dwight",H6PA02171,D,75515.0,0.4224922651717328,322514.0,0.9014209690763142,1
TX,02,1,"Poe, Ted",H4TX02108,R,75404.0,1.0,168692.0,0.6062910622636898,1
NJ,10,1,"Payne, Donald M., Jr.",H2NJ10154,D,75175.0,1.0,190856.0,0.8567362897325056,1
IL,12,1,"Bost, Michael ",H4IL12060,R,74454.0,1.0,169976.0,0.543050843125603,1
PA,08,0,"Fitzpatrick, Brian",H6PA08277,R,74150.0,0.7826435726122246,207263.0,0.5441944851415998,1
HI,01,0,"Hanabusa, Colleen Wakako",H2HI02110,D,74022.0,0.8037569900646072,145417.0,0.7186161091536245,1
MO,04,1,"Hartzler, Vicky",H0MO04086,R,73853.0,0.7248306997742664,225348.0,0.6782809706411745,1
PA,17,1,"Cartwright, Matt",H2PA17079,D,73648.0,0.9906647655430308,157734.0,0.5374772975864737,1
TX,26,1,"Burgess, Michael C.",H2TX26093,R,73607.0,0.7936064690026954,211730.0,0.6635639964899085,1
WA,08,1,"Reichert, Dave",H4WA08071,R,73600.0,0.5681774319306453,193145.0,0.6019509762672776,1
TX,22,1,"Olson, Pete",H8TX22107,R,73375.0,1.0,181864.0,0.5952157306827517,1
PA,12,0,"McClelland, Erin R.",H4PA12043,D,73326.0,0.9852599330852021,137353.0,0.38205294384347716,0
TX,05,1,"Hensarling, Jeb",H2TX05121,R,73143.0,1.0,155469.0,0.8060609202851587,1
IN,08,1,"Bucshon, Larry D.",H0IN08114,R,72889.0,0.6504636033447263,187702.0,0.6368975918944871,1
OR,05,1,"Schrader, Kurt",H8OR05107,D,72634.0,0.7165448321445835,199505.0,0.5347111292172776,1
CA,34,1,"Becerra, Xavier",H2CA30143,D,71982.0,0.7758102238556632,122842.0,0.7718339239488301,1
WA,02,1,"Larsen, Rick",H0WA02080,D,71955.0,0.5181352746754229,208314.0,0.6401625036876782,1
CA,09,1,"McNerney, Jerry",H4CA11081,D,71634.0,0.552701628770051,133163.0,0.5735952273265706,1
WI,02,1,"Pocan, Mark",H2WI02124,D,71461.0,0.9945028946782454,273537.0,0.6871753002059992,1
IL,13,1,"Davis, Rodney",H2IL13120,R,71447.0,0.7695049974151301,187583.0,0.5966494271519177,1
IL,13,0,"Wicklund, Mark D ",H6IL13121,D,71430.0,1.0,126811.0,0.40335057284808234,0
AL,01,1,"Byrne, Bradley",H4AL01123,R,71310.0,0.6011177705282856,208083.0,0.9638246724071646,1
IL,12,0,"Baricevic, Charles ""C.J."" ",H6IL12099,D,70580.0,1.0,124246.0,0.3969495402585287,0
IL,17,1,"Bustos, Cheri ",H2IL17071,D,70319.0,1.0,173125.0,0.6030801064556133,1
WA,03,1,"Beutler, Jaime Herrera",H6WA03234,R,70142.0,0.554767271720647,193457.0,0.6175269809146539,1
IN,07,1,"Carson, André D.",H8IN07184,D,70006.0,0.856373934211653,158739.0,0.5997619677334038,1
TX,21,1,"Smith, Lamar",H6TX21012,R,69866.0,0.6008066249881758,202967.0,0.5700823804668694,1
CA,51,1,"Vargas, Juan ",H2CA50026,D,69522.0,0.6682430289224026,145162.0,0.7275415488863495,1
AZ,02,1,"McSally, Martha",H2AZ08102,R,69378.0,1.0,179806.0,0.5695849264601066,1
MD,06,1,"Delaney, John K.",H2MD06195,D,69343.0,0.8491672789615479,185770.0,0.5595937018974435,1
NM,01,1,"Lujan Grisham, Michelle",H8NM01257,D,69216.0,1.0,181088.0,0.6514730165811049,1
PR,00,0,"Rosa Rodriguez, Angel Roberto",H6PR01015,PPD,67727.0,0.4226492099548189,,,0
TX,24,1,"Marchant, Kenny E.",H4TX24094,R,67412.0,1.0,154845.0,0.5617755364884721,1
VT,00,1,"Welch, Peter",H6VT00160,D,67285.0,0.9948987135886441,264414.0,0.8953049767382015,1
WA,09,1,"Smith, Adam",H6WA09025,D,67100.0,0.5627825445151767,205165.0,0.7288743152315246,1
MO,07,1,"Long, Billy ",H0MO07113,R,67012.0,0.6237097569829022,228692.0,0.6753906446115999,1
NJ,12,1,"Coleman, Bonnie Watson",H4NJ12149,D,66479.0,0.9362711959889584,181430.0,0.628581525392019,1
CA,42,1,"Calvert, Ken",H2CA37023,R,66418.0,0.5494403679591009,149547.0,0.588221180320647,1
CA,24,0,"Carbajal, Salud",H6CA24303,D,66402.0,0.3193847219416467,166034.0,0.5341908665632822,1
CA,45,1,"Walters, Mimi",H4CA45097,R,65773.0,0.4087843926935531,182618.0,0.5855975167468871,1
TX,03,1,"Johnson, Sam",H2TX03118,R,65451.0,0.7462715497582778,193684.0,0.6120195786606503,1
MO,08,1,"Smith, Jason ",H4MO08162,R,65450.0,0.6750345510427195,229792.0,0.7439740215170735,1
CA,35,1,"Torres, Norma J.",H4CA35031,D,65226.0,0.7556739848230319,124044.0,0.7239091232718423,1
TX,08,1,"Brady, Kevin",H6TX08100,R,65059.0,0.5342426382433608,236379.0,1.0,1
AZ,04,1,"Gosar, Paul",H0AZ01259,R,64947.0,0.7141898876157382,203487.0,0.714533522015008,1
CA,25,1,"Knight, Steve",H4CA25123,R,63769.0,0.48257934646062567,138755.0,0.5313006153292413,1
CA,41,1,"Takano, Mark",H2CA43245,D,63706.0,0.64546394050538,128164.0,0.6495137414290275,1
KY,06,0,"Kemper, Nancy Jo",H6KY06127,D,63440.0,0.8008887542291572,128728.0,0.3891097159542601,0
AZ,06,1,"Schweikert, David",H4AZ06045,R,63378.0,0.8031376325827176,201578.0,0.6213029058943916,1
TX,31,1,"Carter, John ",H2TX31044,R,62817.0,0.712833199051326,166060.0,0.583510197197352,1
MO,06,1,"Graves, Sam",H0MO06073,R,62764.0,0.7620689655172413,238388.0,0.6802456312563491,1
PA,06,0,"Parrish, Mike",H4PA06052,D,62732.0,0.9977573839326898,155000.0,0.4272844556671702,0
NE,01,0,"Fortenberry, Jeff",H4NE01064,R,62704.0,1.0,189771.0,0.6945263835923261,1
IL,10,1,"Dold, Robert ",H0IL10302,R,61968.0,1.0,135535.0,0.47390522944376845,0
PA,02,1,"Fattah, Chaka",H2PA02055,D,61518.0,0.34418167475117073,,,0
CA,10,1,"Denham, Jeff",H0CA19173,R,61290.0,0.47730299278087984,124671.0,0.5170045740873597,1
CA,26,0,"Dagnesses, Rafael A.",H4CA26139,R,61219.0,0.3597816121676579,111059.0,0.39620487536879206,0
WV,01,1,"McKinley, David B.",H0WV01072,R,61217.0,1.0,163469.0,0.6897338852250815,1
WV,01,0,"Manypenny, Mike ",H6WV01087,D,60911.0,1.0,73534.0,0.31026611477491844,0
MI,02,1,"Huizenga, Bill",H0MI02094,R,60844.0,1.0,212508.0,0.6262613164843456,1
CA,40,1,"Roybal-Allard, Lucille",H2CA33048,D,60691.0,0.7630153002853874,106554.0,0.7137048969503741,1
CA,04,0,"Derlet, Robert W.",H6CA04156,D,60574.0,0.274512825160881,130845.0,0.37280114423126237,0
TX,17,1,"Flores, Bill",H0TX17104,R,60502.0,0.7241672352089243,149417.0,0.6080585037114208,1
WA,05,1,"Rodgers, Cathy McMorris",H6WA05171,R,60184.0,0.4217992206554344,192959.0,0.5964102690907293,1
KS,01,0,"Marshall, Roger",H6KS01179,R,59889.0,0.5655988515951117,169992.0,0.6589577898290894,1
CA,01,0,"Reed, Jim",H6CA01194,D,59665.0,0.2825502211530265,128588.0,0.4094689780789464,0
PA,15,0,"Daugherty, Rick ",H2PA15099,D,59475.0,0.9979529170931423,124129.0,0.3799154036385005,0
MI,05,1,"Kildee, Daniel T.",H2MI05119,D,59090.0,1.0,195279.0,0.6116019555828383,1
AZ,08,1,"Franks, Trent",H4AZ04024,R,59042.0,0.7106302055750806,204942.0,0.6854912349358299,1
