STATE_ABBREVIATION,D,INCUMBENT,CANDIDATE_NAME,CANDIDATE_ID,PARTY,PRIMARY_VOTES,PRIMARY_%,GENERAL_VOTES,GENERAL_%,GE_WINNER_INDICATOR,COMMITTEE_ID,COMMITTEE_TYPE
OR,01,1,"Bonamici, Suzanne",H2OR01133,D,99153.0,0.8973934292696172,225391.0,0.5961226675835438,1,C00500421,H
CA,03,1,"Garamendi, John G.",H0CA10149,D,98430.0,0.6310748082989255,152513.0,0.5935143170691842,1,C00462697,H
TX,13,1,"Thornberry, Mac ",H4TX13014,R,98033.0,1.0,199050.0,0.8996935482412923,1,C00286187,H
ND,00,1,"Cramer, Kevin",H0ND01026,R,96357.0,0.9905526543032197,233980.0,0.6913097302775225,1,C00504704,H
TX,01,1,"Gohmert, Louie ",H4TX04039,R,96313.0,0.8194967964808086,192434.0,0.7389683152272003,1,C00386532,H
PA,10,1,"Marino, Tom",H0PA10078,R,95321.0,0.9893715293995536,211282.0,0.7006951169361793,1,C00475145,H
IN,05,1,"Brooks, Susan W.  #",H2IN05082,R,95209.0,0.6950272290599039,221957.0,0.6146094950641727,1,C00500207,H
MS,01,1,"Kelly, Trent",H6MS01131,R,95049.0,0.8929316273039851,206455.0,0.6872143610842046,1,C00573980,H
CA,07,1,"Bera, Ami",H0CA03078,D,93506.0,0.5400413523846926,152133.0,0.5117137177473335,1,C00461061,H
CA,27,1,"Chu, Judy ",H0CA32101,D,93204.0,0.6617675250814748,168977.0,0.6742036132656644,1,C00458125,H
CA,43,1,"Waters, Maxine",H4CA23011,D,92909.0,0.7611685960298539,167017.0,0.7608420342936278,1,C00167585,H
CA,48,1,"Rohrabacher, Dana ",H8CA42061,R,92815.0,0.5656795285140513,178701.0,0.5831973526186622,1,C00224691,H
IL,04,1,"Gutierrez, Luis V.",H2IL08039,D,92779.0,0.7517400076163313,171297.0,1.0,1,C00254581,H
CA,30,1,"Sherman, Brad",H6CA24113,D,92448.0,0.6011353217720383,205279.0,0.7263839153019773,1,C00308742,H
PA,11,1,"Barletta, Lou ",H2PA11098,R,92342.0,0.9993614787718748,199421.0,0.6362212310892467,1,C00376004,H
