STATE_ABBREVIATION,STATE,D,CANDIDATE_ID,INCUMBENT,CANDIDATE_NAME_(FIRST),CANDIDATE_NAME_(LAST),CANDIDATE_NAME,TOTAL_VOTES,PARTY,PRIMARY_VOTES,PRIMARY_%,RUNOFF_VOTES,RUNOFF_%,GENERAL_VOTES,GENERAL_%,GE_RUNOFF_ELECTION_VOTES_(LA),GE_RUNOFF_ELECTION_%_(LA),"COMBINED_GE_PARTY_TOTALS_(CT,_NY,_SC)","COMBINED_%_(CT,_NY,_SC)",GE_WINNER_INDICATOR,FOOTNOTES
CA,California,05,,0,,,,District Votes:,,189701.0,,,,292091.0,,,,,,0,
CA,California,06,,0,,,,District Votes:,,141514.0,,,,235413.0,,,,,,0,
CA,California,07,,0,,,,District Votes:,,173146.0,,,,297301.0,,,,,,0,
CA,California,08,,0,,,,District Votes:,,120077.0,,,,220007.0,,,,,,0,
CA,California,09,,0,,,,District Votes:,,129607.0,,,,232155.0,,,,,,0,
CA,California,10,,0,,,,District Votes:,,128409.0,,,,241141.0,,,,,,0,
CA,California,11,,0,,,,District Votes:,,176971.0,,,,298209.0,,,,,,0,
CA,California,12,,0,,,,District Votes:,,217042.0,,,,338845.0,,,,,,0,
CA,California,13,,0,,,,District Votes:,,209045.0,,,,322871.0,,,,,,0,
CA,California,14,,0,,,,District Votes:,,146119.0,,,,286447.0,,,,,,0,
CA,California,15,,0,,,,District Votes:,,144835.0,,,,269197.0,,,,,,0,
CA,California,16,,0,,,,District Votes:,,94469.0,,,,167956.0,,,,,,0,
CA,California,17,,0,,,,District Votes:,,133212.0,,,,233192.0,,,,,,0,
CA,California,18,,0,,,,District Votes:,,194621.0,,,,323930.0,,,,,,0,
CA,California,19,,0,,,,District Votes:,,141662.0,,,,245863.0,,,,,,0,
CA,California,20,,0,,,,District Votes:,,164938.0,,,,255791.0,,,,,,0,
CA,California,21,,0,,,,District Votes:,,69166.0,,,,132408.0,,,,,,0,
CA,California,22,,0,,,,District Votes:,,135534.0,,,,234966.0,,,,,,0,
CA,California,23,,0,,,,District Votes:,,137334.0,,,,241584.0,,,,,,0,
CA,California,24,,0,,,,District Votes:,,207906.0,,,,310814.0,,,,,,0,
CA,California,25,,0,,,,District Votes:,,132142.0,,,,261161.0,,,,,,0,
CA,California,26,,0,,,,District Votes:,,170156.0,,,,280307.0,,,,,,0,
CA,California,27,,0,,,,District Votes:,,140841.0,,,,250632.0,,,,,,0,
CA,California,28,,0,,,,District Votes:,,159128.0,,,,270409.0,,,,,,0,
CA,California,29,,0,,,,District Votes:,,95520.0,,,,171824.0,,,,,,0,
CA,California,30,,0,,,,District Votes:,,153789.0,,,,282604.0,,,,,,0,
CA,California,31,,0,,,,District Votes:,,112620.0,,,,215936.0,,,,,,0,
CA,California,32,,0,,,,District Votes:,,106967.0,,,,186646.0,,,,,,0,
CA,California,33,,0,,,,District Votes:,,184709.0,,,,330219.0,,,,,,0,
CA,California,34,,0,,,,District Votes:,,92783.0,,,,159156.0,,,,,,0,
CA,California,35,,0,,,,District Votes:,,86315.0,,,,171353.0,,,,,,0,
CA,California,36,,0,,,,District Votes:,,130326.0,,,,232617.0,,,,,,0,
CA,California,37,,0,,,,District Votes:,,144117.0,,,,237272.0,,,,,,0,
CA,California,38,,0,,,,District Votes:,,123386.0,,,,232114.0,,,,,,0,
CA,California,39,,0,,,,District Votes:,,140555.0,,,,263456.0,,,,,,0,
CA,California,40,,0,,,,District Votes:,,79541.0,,,,149297.0,,,,,,0,
CA,California,41,,0,,,,District Votes:,,98698.0,,,,197323.0,,,,,,0,
CA,California,42,,0,,,,District Votes:,,120883.0,,,,254236.0,,,,,,0,
CA,California,43,,0,,,,District Votes:,,122061.0,,,,219516.0,,,,,,0,
CA,California,44,,0,,,,District Votes:,,100276.0,,,,178413.0,,,,,,0,
CA,California,45,,0,,,,District Votes:,,160899.0,,,,311849.0,,,,,,0,
CA,California,46,,0,,,,District Votes:,,93569.0,,,,164593.0,,,,,,0,
CA,California,47,,0,,,,District Votes:,,137022.0,,,,242868.0,,,,,,0,
CA,California,48,,0,,,,District Votes:,,164077.0,,,,306416.0,,,,,,0,
CA,California,49,,0,,,,District Votes:,,166521.0,,,,310155.0,,,,,,0,
CA,California,50,,0,,,,District Votes:,,153289.0,,,,283583.0,,,,,,0,
CA,California,51,,0,,,,District Votes:,,104037.0,,,,199524.0,,,,,,0,
CA,California,52,,0,,,,District Votes:,,183502.0,,,,320656.0,,,,,,0,
CA,California,53,,0,,,,District Votes:,,169260.0,,,,296956.0,,,,,,0,
CA,California,H,,0,,,,Total State Votes:,,7701275.0,,,,13414018.0,,,,,,0,
CO,Colorado,01,,0,,,,Party Votes:,D,64695.0,,,,,,,,,,0,
CO,Colorado,01,,0,,,,Party Votes:,R,15616.0,,,,,,,,,,0,
CO,Colorado,01,,0,,,,District Votes:,,80311.0,,,,379036.0,,,,,,0,
CO,Colorado,02,,0,,,,Party Votes:,D,45017.0,,,,,,,,,,0,
CO,Colorado,02,,0,,,,Party Votes:,R,36417.0,,,,,,,,,,0,
CO,Colorado,02,,0,,,,District Votes:,,81434.0,,,,457312.0,,,,,,0,
CO,Colorado,03,,0,,,,Party Votes:,R,55782.0,,,,,,,,,,0,
CO,Colorado,03,,0,,,,Party Votes:,D,35823.0,,,,,,,,,,0,
CO,Colorado,03,,0,,,,District Votes:,,91605.0,,,,374037.0,,,,,,0,
CO,Colorado,04,,0,,,,Party Votes:,R,58848.0,,,,,,,,,,0,
CO,Colorado,04,,0,,,,Party Votes:,D,22520.0,,,,,,,,,,0,
CO,Colorado,04,,0,,,,District Votes:,,81368.0,,,,390635.0,,,,,,0,
CO,Colorado,05,,0,,,,Party Votes:,R,74986.0,,,,,,,,,,0,
CO,Colorado,05,,0,,,,Party Votes:,D,23077.0,,,,,,,,,,0,
CO,Colorado,05,,0,,,,District Votes:,,98063.0,,,,362114.0,,,,,,0,
CO,Colorado,06,,0,,,,Party Votes:,R,41288.0,,,,,,,,,,0,
CO,Colorado,06,,0,,,,Party Votes:,D,30704.0,,,,,,,,,,0,
CO,Colorado,06,,0,,,,District Votes:,,71992.0,,,,376417.0,,,,,,0,
CO,Colorado,07,,0,,,,Party Votes:,D,35196.0,,,,,,,,,,0,
CO,Colorado,07,,0,,,,Party Votes:,R,29614.0,,,,,,,,,,0,
CO,Colorado,07,,0,,,,District Votes:,,64810.0,,,,362010.0,,,,,,0,
CO,Colorado,H,,0,,,,Total State Votes:,,569583.0,,,,2701561.0,,,,,,0,
CT,Connecticut,01,,0,,,,District Votes:,,,,,,312925.0,,,,,,0,
CT,Connecticut,02,,0,,,,District Votes:,,,,,,330257.0,,,,,,0,
CT,Connecticut,03,,0,,,,District Votes:,,,,,,309379.0,,,,,,0,
CT,Connecticut,04,,0,,,,District Votes:,,,,,,313540.0,,,,,,0,
CT,Connecticut,05,,0,,,,District Votes:,,,,,,309082.0,,,,,,0,
CT,Connecticut,H,,0,,,,Total State Votes:,,,,,,1575183.0,,,,,,0,
DE,Delaware,00,,0,,,,Party Votes:,D,63794.0,,,,,,,,,,0,
DE,Delaware,00,,0,,,,District Votes:,,63794.0,,,,420640.0,,,,,,0,
DE,Delaware,H,,0,,,,Total State Votes:,,63794.0,,,,420640.0,,,,,,0,
DC,District of Columbia,00,,0,,,,Party Votes:,D,93465.0,,,,,,,,,,0,
DC,District of Columbia,00,,0,,,,Party Votes:,DCG,403.0,,,,,,,,,,0,
DC,District of Columbia,00,,0,,,,Party Votes:,R,564.0,,,,,,,,,,0,
DC,District of Columbia,00,,0,,,,District Votes:,,94432.0,,,,300906.0,,,,,,0,
